R0020004,	監試法,
R0030035,	公務人員升官等考試法,
R0030001,	公務人員考試法,
R0040001,	專門職業及技術人員考試法,
S0000001,	銓敘部組織法,
S0020001,	公務人員任用法,
S0030001,	公務人員俸給法,
S0040001,	公務人員考績法,
S0110036,	公務人員行政中立法,
S0110033,	公務人員陞遷法,
S0020038,	公務員服務法,
S0080001,	公務人員退休法,
S0070001,	公教人員保險法,
S0090001,	公務人員撫卹法,
S0010008,	公務人員協會法,
S0000013,	公務人員保障暨培訓委員會組織法,
S0000009,	國家文官學院組織法,
S0120001,	公務人員保障法,
S0050004,	公務人員訓練進修法,
A0010072,	監察院各委員會組織法,
A0010071,	監察院組織法,
A0030199,	監察法,
U0000001,	審計部組織法,
U0010001,	審計法,
